Date,Open,High,Low,Close,Volume
2013-07-10 00:00:00.000000,0.0,0.0,0.0,0.0,0.0
2015-08-07 00:00:00.000000,0.7812,27.79,0.7809,2.773,148608.32
2015-08-08 00:00:00.000000,2.773,2.581,0.5958,0.8076,583543.48
2015-08-09 00:00:00.000000,0.8076,0.9581,0.6043,0.7428,547528.03
2015-08-10 00:00:00.000000,0.7428,0.7628,0.599,0.6846,401107.09
2015-08-11 00:00:00.000000,0.6846,1.165,0.6548,1.059,1567648.93
2015-08-12 00:00:00.000000,1.059,1.294,0.8118,1.252,2255077.13
2015-08-13 00:00:00.000000,1.252,2.013,1.102,1.781,4144356.12
2015-08-14 00:00:00.000000,1.781,2.319,1.721,1.801,4020953.98
2015-08-15 00:00:00.000000,1.801,1.856,1.499,1.656,2351072.72
2015-08-16 00:00:00.000000,1.656,1.701,1.069,1.437,3453189.72
2015-08-17 00:00:00.000000,1.437,1.594,1.144,1.195,1639187.47
2015-08-18 00:00:00.000000,1.195,1.317,1.054,1.271,1714282.29
2015-08-19 00:00:00.000000,1.271,1.287,1.13,1.263,1478394.44
2015-08-20 00:00:00.000000,1.263,1.537,1.235,1.481,2895320.75
2015-08-21 00:00:00.000000,1.481,1.573,1.334,1.438,1917846.87
2015-08-22 00:00:00.000000,1.438,1.519,1.342,1.387,888366.17
2015-08-23 00:00:00.000000,1.387,1.427,1.257,1.347,1556560.45
2015-08-24 00:00:00.000000,1.347,1.296,1.177,1.244,851816.91
2015-08-25 00:00:00.000000,1.244,1.312,1.106,1.166,1170023.4
2015-08-26 00:00:00.000000,1.166,1.205,1.075,1.158,1051584.59
2015-08-27 00:00:00.000000,1.158,1.166,1.112,1.132,616517.4
2015-08-28 00:00:00.000000,1.132,1.207,1.153,1.186,656425.39
2015-08-29 00:00:00.000000,1.186,1.188,1.145,1.18,361576.11
2015-08-30 00:00:00.000000,1.18,1.375,1.161,1.327,1267478.81
2015-08-31 00:00:00.000000,1.327,1.433,1.203,1.351,1381385.03
2015-09-01 00:00:00.000000,1.351,1.39,1.322,1.35,707880.94
2015-09-02 00:00:00.000000,1.35,1.366,1.257,1.288,831454.09
2015-09-03 00:00:00.000000,1.288,1.305,1.187,1.259,676985.2
2015-09-04 00:00:00.000000,1.259,1.322,1.243,1.273,442125.72
2015-09-05 00:00:00.000000,1.273,1.342,1.283,1.32,389116.74
2015-09-06 00:00:00.000000,1.32,1.371,1.288,1.301,444520.12
2015-09-07 00:00:00.000000,1.301,1.311,1.226,1.242,439336.86
2015-09-08 00:00:00.000000,1.242,1.277,1.224,1.23,360461.25
2015-09-09 00:00:00.000000,1.23,1.256,1.184,1.207,348624.61
2015-09-10 00:00:00.000000,1.207,1.216,1.121,1.162,585350.51
2015-09-11 00:00:00.000000,1.162,1.18,0.9097,0.9754,1798821.7
2015-09-12 00:00:00.000000,0.9754,1.109,0.9516,1.041,734047.02
2015-09-13 00:00:00.000000,1.041,1.029,0.8938,0.9378,606998.31
2015-09-14 00:00:00.000000,0.9378,0.9564,0.8612,0.8743,674159.56
2015-09-15 00:00:00.000000,0.8743,0.9982,0.861,0.9436,673968.85
2015-09-16 00:00:00.000000,0.9436,0.9473,0.8959,0.903,572627.81
2015-09-17 00:00:00.000000,0.903,0.9248,0.821,0.8853,855838.66
2015-09-18 00:00:00.000000,0.8853,0.8924,0.8257,0.8501,450401.13
